카테고리,병원 이름,위치,이벤트 제목,가격
필러,온에어성형외과의원,서울 강남역,온에어 턱끝필러,"99,000원"
필러,에이비성형외과의원,서울 강남역,"에이비 입술필러,입꼬리필러,입꼬리보톡스","141,900원"
필러,유앤미의원,서울 강남역,"인중축소시술, 인중길이축소&입술볼륨&입꼬리교정","198,000원"
필러,예뻐지는의원,부산 경성대부경대역,필러제거주사 히알라제,"209,000원"
필러,와우성형외과,서울 강남역,WOW 관자놀이필러,"132,000원"
필러,와우성형외과,서울 강남역,와우 코필러,"132,000원"
필러,케이트의원,서울 홍대입구역,심쿵애교필러,"165,000원"
필러,리엔장의원-인천점,인천 예술회관역,"인천 애교필러, 과즙팡팡","108,900원"
필러,데이뷰의원-안양범계점,경기 범계역,입술필러 Day,"88,000원"
필러,오블리주의원,서울 홍대입구역,"순수한 히알루론산, 순수필","70,000원"
필러,예쁜라인성형외과의원,부산 서면역,부산 예쁜라인 턱끝 필러,"99,000원"
필러,리엔장의원-인천점,인천 예술회관역,인천_팔자필러,"53,900원"
필러,케이톡스의원-부평점,인천 부평역,턱존심 턱필러,"79,000원"
필러,뷰커스의원,서울 양천향교역,입술 필러 뷰커스,"64,900원"
필러,종로연세의원,서울 동대문역,레스틸렌 리프트 코필러,"249,900원"
필러,데이뷰의원-강서발산점,서울 발산역,입술필러 Day,"85,900원"
필러,대구엣지성형외과의원,대구 반월당역,"입술라인필러, 대구엣지성형외과","165,000원"
필러,와우성형외과,서울 강남역,WOW 팔자주름필러,"132,000원"
필러,허쉬성형외과의원,서울 청담역,"누운귀필러 6cc, HA&리도카인 히알루론산 필러 정량 시술","660,000원"
필러,닥터쁘띠의원-인천구월점,인천 예술회관역,인천 구월동 확실한 필러제거 히알라제 주사 1cc 체험가,"77,000원"
필러,압구정비앤미의원,서울 압구정로데오역,비앤미 입술입꼬리필러,"97,900원"
필러,아이디병원-피부과,서울 신사역,목주름 없애스킨부스터,"132,000원"
필러,데이뷰의원-강서발산점,서울 발산역,턱끝필러 Day,"70,200원"
필러,아이필유의원,서울 강남역,필러 1cc,"110,000원"
필러,세이예스의원,서울 신논현역,"자연스럽고 도톰한 애교살, 애교필러 이벤트","77,000원"
필러,닥터소녀로의원,서울 압구정역,쥬비덤 입술필러,"539,000원"
필러,우아성형외과의원,서울 강남역,레스틸렌 프리미엄 필러,"319,000원"
필러,엘브이의원,부산 센텀시티역,"엘브이 예쁜귀필러, 누운귀필러","242,000원"
필러,강남비비의원,서울 강남역,1대1 대표 원장 시술 비비 이마필러,"264,000원"
필러,일라스의원,부산 센텀시티역,부산 젤리입술 입꼬리필러,"108,900원"
필러,디에이성형외과의원,서울 역삼역,FULL 볼륨__벨로테로 필러_입술필러 팔자주름필러 이마필러 목주름필러,"275,000원"
필러,리버스클리닉-수원,경기,수원 입술필러 입술을 도톰하게,"110,000원"
필러,차민성형외과의원,서울 신논현역,차민 필러녹이는주사,"55,000원"
필러,올리팅성형외과의원,서울 강남역,올리팅_목주름지우개_목주름필러_목주름스킨부스터_목주름보톡스,"121,000원"
필러,대구엣지성형외과의원,대구 반월당역,대구 엣지있게 눈밑 애교필러,"220,000원"
필러,베리굿성형외과,서울 강남역,베리굿_코필러,"88,000원"
필러,아이델성형외과,서울 강남역,아이델 입술전체_입술&입꼬리필러,"165,000원"
필러,디에이성형외과의원,서울 역삼역,팔자주름_마리오네트_잼버실_실리프팅,"77,000원"
필러,메종드엠의원,서울 강남역,메종드엠 입술필러&입꼬리보톡스,"132,000원"
필러,와이랩성형외과의원,인천 부평역,대용량 이마필러 4cc,"550,000원"
필러,루비의원,서울 명동역,명동루비_벨로테로필러,"190,000원"
필러,피아프의원,서울 종합운동장역,베이비 페이스 턱끝필러,"110,000원"
필러,온에어성형외과의원,서울 강남역,볼륨가득 온에어 입술필러패키지,"198,000원"
필러,부산 서면 비오비의원,부산 서면역,부산 턱라인 전체교정 필러,"165,000원"
필러,세이예스의원,서울 신논현역,"세이예스의원 입술전체패키지 이벤트_입꼬리필러,입꼬리보톡스,입술필러까지","60,500원"
필러,파크뷰의원-잠실점,서울 잠실새내역,파크뷰 원하는 부위 필러,"88,000원"
필러,대구엣지성형외과의원,대구 반월당역,엣지있게 대구 턱끝필러,"99,000원"
필러,갤럭시성형외과의원,부산 서면역,갤럭시 9주년 이마필러 국산&수입산 5종,"70,000원"
필러,리엔장의원-명동점,서울 을지로입구역,명동 입술필러,"108,900원"
필러,필앤필의원,서울 강남역,안처지는 볼필러,"99,000원"
필러,영영영의원,서울 신논현역,옷핏살리는 어깨필러,"770,000원"
필러,뷰티블라썸의원,서울 홍대입구역,뷰티블라썸 입술필러_자연미 & 디자인 노하우,"99,000원"
필러,닥터쁘띠의원-대전점,대전 탄방역,"대전 탄방동 턱끝,옆볼,관자 필러 1cc 첫방문가","75,900원"
필러,본연성형외과의원,서울 강남역,본연_시그니처 애교필러,"165,000원"
필러,청담오케이성형외과의원,서울 청담역,힙딥_HIPDEEP 골반필러,"99,000원"
필러,네스트의원,서울 신논현역,엉덩이 힙딥 키닥터 여의사,"77,000원"
필러,더왈츠의원,서울 강남역,"더왈츠 애교필러, 애교살필러","165,000원"
필러,아이에이치성형외과의원,서울 압구정역,아이에이치성형외과 대표원장 디자인 프리미엄 골반필러,"36,000원"
필러,셀앤케이의원,서울 발산역,시그니처 입술필러,"121,000원"
필러,닥터소녀로의원,서울 압구정역,채움 프리미엄 입술필러,"319,000원"
필러,샤인빔의원-청주점,충북,청주 볼륨 필러이벤트,"86,900원"
필러,차민성형외과의원,서울 신논현역,차민 커스텀 필러,"99,000원"
필러,더루루의원,서울 신사역,파인이마필러,"176,000원"
필러,더피크의원,서울 압구정로데오역,애플힙주사10cc 엉덩이콜라겐주사 엉덩이필러 골반필러 힙딥필러 여의사 더피크의원,"108,900원"
필러,와이랩성형외과의원,인천 부평역,입술 입꼬리 전체 필러,"363,000원"
필러,오늘성형외과의원,서울 신사역,"입술전체 필러, 입꼬리 보톡스","150,000원"
필러,온에어성형외과의원,서울 강남역,온에어 대용량 수입필러,"328,900원"
필러,더왈츠의원,서울 강남역,더왈츠 턱끝필러 턱선라인필러,"79,200원"
필러,유캔비성형외과/피부과,서울 강남역,애교필러 대용량,"198,000원"
필러,유앤아이의원-부평점,인천 부평역,유앤아이 볼륨 입술필러,"75,900원"
